"ID","Sigla","Comuna","Votacion"
1,"AMP","AISEN",0
1,"DC","AISEN",1132
1,"DEMOREGIONAL","AISEN",111
1,"ECO","AISEN",47
1,"EVO","AISEN",158
1,"FRNV","AISEN",0
1,"FRVS","AISEN",0
1,"IC","AISEN",0
1,"IGUALDAD","AISEN",0
1,"INDEP","AISEN",0
1,"MAS","AISEN",0
1,"PC","AISEN",353
1,"PH","AISEN",103
1,"PL","AISEN",0
1,"PODER","AISEN",0
1,"PPD","AISEN",61
1,"PRI","AISEN",338
1,"PRO","AISEN",0
1,"PRSD","AISEN",515
1,"PS","AISEN",1060
1,"RD","AISEN",0
1,"RN","AISEN",1669
1,"UDI","AISEN",1796
1,"UP","AISEN",0
2,"AMP","ALGARROBO",0
2,"DC","ALGARROBO",784
2,"DEMOREGIONAL","ALGARROBO",0
2,"ECO","ALGARROBO",0
2,"EVO","ALGARROBO",523
2,"FRNV","ALGARROBO",0
2,"FRVS","ALGARROBO",0
2,"IC","ALGARROBO",0
2,"IGUALDAD","ALGARROBO",0
2,"INDEP","ALGARROBO",122
2,"MAS","ALGARROBO",0
2,"PC","ALGARROBO",135
2,"PH","ALGARROBO",0
2,"PL","ALGARROBO",0
2,"PODER","ALGARROBO",0
2,"PPD","ALGARROBO",346
2,"PRI","ALGARROBO",551
2,"PRO","ALGARROBO",59
2,"PRSD","ALGARROBO",404
2,"PS","ALGARROBO",655
2,"RD","ALGARROBO",0
2,"RN","ALGARROBO",1031
2,"UDI","ALGARROBO",1032
2,"UP","ALGARROBO",0
3,"AMP","ALHUE",0
3,"DC","ALHUE",701
3,"DEMOREGIONAL","ALHUE",0
3,"ECO","ALHUE",0
3,"EVO","ALHUE",0
3,"FRNV","ALHUE",0
3,"FRVS","ALHUE",0
3,"IC","ALHUE",0
3,"IGUALDAD","ALHUE",0
3,"INDEP","ALHUE",0
3,"MAS","ALHUE",0
3,"PC","ALHUE",508
3,"PH","ALHUE",466
3,"PL","ALHUE",0
3,"PODER","ALHUE",0
3,"PPD","ALHUE",119
3,"PRI","ALHUE",0
3,"PRO","ALHUE",0
3,"PRSD","ALHUE",57
3,"PS","ALHUE",450
3,"RD","ALHUE",0
3,"RN","ALHUE",291
3,"UDI","ALHUE",399
3,"UP","ALHUE",0
4,"AMP","ALTO BIOBIO",0
4,"DC","ALTO BIOBIO",485
4,"DEMOREGIONAL","ALTO BIOBIO",0
4,"ECO","ALTO BIOBIO",0
4,"EVO","ALTO BIOBIO",47
4,"FRNV","ALTO BIOBIO",0
4,"FRVS","ALTO BIOBIO",0
4,"IC","ALTO BIOBIO",0
4,"IGUALDAD","ALTO BIOBIO",0
4,"INDEP","ALTO BIOBIO",0
4,"MAS","ALTO BIOBIO",0
4,"PC","ALTO BIOBIO",282
4,"PH","ALTO BIOBIO",0
4,"PL","ALTO BIOBIO",0
4,"PODER","ALTO BIOBIO",0
4,"PPD","ALTO BIOBIO",282
4,"PRI","ALTO BIOBIO",47
4,"PRO","ALTO BIOBIO",15
4,"PRSD","ALTO BIOBIO",506
4,"PS","ALTO BIOBIO",331
4,"RD","ALTO BIOBIO",0
4,"RN","ALTO BIOBIO",485
4,"UDI","ALTO BIOBIO",394
4,"UP","ALTO BIOBIO",0
5,"AMP","ALTO DEL CARMEN",0
5,"DC","ALTO DEL CARMEN",56
5,"DEMOREGIONAL","ALTO DEL CARMEN",104
5,"ECO","ALTO DEL CARMEN",0
5,"EVO","ALTO DEL CARMEN",43
5,"FRNV","ALTO DEL CARMEN",0
5,"FRVS","ALTO DEL CARMEN",0
5,"IC","ALTO DEL CARMEN",0
5,"IGUALDAD","ALTO DEL CARMEN",0
5,"INDEP","ALTO DEL CARMEN",0
5,"MAS","ALTO DEL CARMEN",20
5,"PC","ALTO DEL CARMEN",115
5,"PH","ALTO DEL CARMEN",22
5,"PL","ALTO DEL CARMEN",0
5,"PODER","ALTO DEL CARMEN",0
5,"PPD","ALTO DEL CARMEN",58
5,"PRI","ALTO DEL CARMEN",43
5,"PRO","ALTO DEL CARMEN",244
5,"PRSD","ALTO DEL CARMEN",580
5,"PS","ALTO DEL CARMEN",289
5,"RD","ALTO DEL CARMEN",0
5,"RN","ALTO DEL CARMEN",685
5,"UDI","ALTO DEL CARMEN",234
5,"UP","ALTO DEL CARMEN",0
6,"AMP","ALTO HOSPICIO",651
6,"DC","ALTO HOSPICIO",1417
6,"DEMOREGIONAL","ALTO HOSPICIO",0
6,"ECO","ALTO HOSPICIO",129
6,"EVO","ALTO HOSPICIO",59
6,"FRNV","ALTO HOSPICIO",0
6,"FRVS","ALTO HOSPICIO",0
6,"IC","ALTO HOSPICIO",0
6,"IGUALDAD","ALTO HOSPICIO",280
6,"INDEP","ALTO HOSPICIO",0
6,"MAS","ALTO HOSPICIO",59
6,"PC","ALTO HOSPICIO",555
6,"PH","ALTO HOSPICIO",270
6,"PL","ALTO HOSPICIO",58
6,"PODER","ALTO HOSPICIO",574
6,"PPD","ALTO HOSPICIO",1352
6,"PRI","ALTO HOSPICIO",59
6,"PRO","ALTO HOSPICIO",287
6,"PRSD","ALTO HOSPICIO",1178
6,"PS","ALTO HOSPICIO",978
6,"RD","ALTO HOSPICIO",0
6,"RN","ALTO HOSPICIO",2145
6,"UDI","ALTO HOSPICIO",2891
6,"UP","ALTO HOSPICIO",0
