"Comuna","Sub.Pacto","Partido","Votacion"
"ALTO HOSPICIO","SUBPACTO HUMANISTAS E INDEPENDIENTES","INDEPENDIENTE",270
"ALTO HOSPICIO","SUBPACTO IC, MAS REGION E INDEPENDIENTES","MAS REGION ",59
"ALTO HOSPICIO","SUBPACTO LIBERALES E INDEPENDIENTES","PARTIDO LIBERAL DE CHILE",58
"ALTO HOSPICIO","SUBPACTO PCCH E INDEPENDIENTES","PARTIDO COMUNISTA DE CHILE ",407
"ALTO HOSPICIO","SUBPACTO PDC E INDEPENDIENTES","INDEPENDIENTE",604
"ALTO HOSPICIO","SUBPACTO PDC E INDEPENDIENTES","PARTIDO DEMOCRATA CRISTIANO",1115
"ALTO HOSPICIO","SUBPACTO PPD E INDEPENDIENTES","INDEPENDIENTE",297
"ALTO HOSPICIO","SUBPACTO PPD E INDEPENDIENTES","PARTIDO POR LA DEMOCRACIA",1204
"ALTO HOSPICIO","SUBPACTO PRI E INDEPENDIENTES","INDEPENDIENTE",118
"ALTO HOSPICIO","SUBPACTO PRO E INDEPENDIENTES","INDEPENDIENTE",287
"ALTO HOSPICIO","SUBPACTO PRSD E INDEPENDIENTES","INDEPENDIENTE",994
"ALTO HOSPICIO","SUBPACTO PRSD E INDEPENDIENTES","PARTIDO RADICAL SOCIALDEMOCRATA",184
"ALTO HOSPICIO","SUBPACTO PS E INDEPENDIENTES","PARTIDO SOCIALISTA DE CHILE ",676
"ALTO HOSPICIO",NA,"AMPLITUD",651
"ALTO HOSPICIO",NA,"INDEPENDIENTE",1420
"ALTO HOSPICIO",NA,"PODER",574
"ALTO HOSPICIO",NA,"RENOVACION NACIONAL ",2039
"ALTO HOSPICIO",NA,"UNION DEMOCRATA INDEPENDIENTE",1986
NA,NA,NA,NA
"CAMIÑA","SUBPACTO HUMANISTAS E INDEPENDIENTES","INDEPENDIENTE",6
"CAMIÑA","SUBPACTO PCCH E INDEPENDIENTES","INDEPENDIENTE",2
"CAMIÑA","SUBPACTO PDC E INDEPENDIENTES","INDEPENDIENTE",45
"CAMIÑA","SUBPACTO PDC E INDEPENDIENTES","PARTIDO DEMOCRATA CRISTIANO",108
"CAMIÑA","SUBPACTO PPD E INDEPENDIENTES","PARTIDO POR LA DEMOCRACIA",13
"CAMIÑA","SUBPACTO PS E INDEPENDIENTES","INDEPENDIENTE",50
"CAMIÑA",NA,"AMPLITUD",165
"CAMIÑA",NA,"INDEPENDIENTE",473
"CAMIÑA",NA,"RENOVACION NACIONAL ",545
"CAMIÑA",NA,"UNION DEMOCRATA INDEPENDIENTE",223
NA,NA,NA,NA
"COLCHANE","SUBPACTO PCCH E INDEPENDIENTES","PARTIDO COMUNISTA DE CHILE ",24
"COLCHANE","SUBPACTO PDC E INDEPENDIENTES","INDEPENDIENTE",72
"COLCHANE","SUBPACTO PDC E INDEPENDIENTES","PARTIDO DEMOCRATA CRISTIANO",137
"COLCHANE","SUBPACTO PPD E INDEPENDIENTES","INDEPENDIENTE",309
"COLCHANE","SUBPACTO PRSD E INDEPENDIENTES","PARTIDO RADICAL SOCIALDEMOCRATA",44
"COLCHANE","SUBPACTO PS E INDEPENDIENTES","INDEPENDIENTE",194
"COLCHANE",NA,"AMPLITUD",198
"COLCHANE",NA,"INDEPENDIENTE",889
"COLCHANE",NA,"PODER",49
"COLCHANE",NA,"UNION DEMOCRATA INDEPENDIENTE",204
NA,NA,NA,NA
"HUARA","SUBPACTO PCCH E INDEPENDIENTES","INDEPENDIENTE",23
"HUARA","SUBPACTO PDC E INDEPENDIENTES","PARTIDO DEMOCRATA CRISTIANO",124
"HUARA","SUBPACTO PPD E INDEPENDIENTES","INDEPENDIENTE",31
"HUARA","SUBPACTO PPD E INDEPENDIENTES","PARTIDO POR LA DEMOCRACIA",138
"HUARA","SUBPACTO PRO E INDEPENDIENTES","INDEPENDIENTE",60
"HUARA","SUBPACTO PRSD E INDEPENDIENTES","INDEPENDIENTE",523
"HUARA","SUBPACTO PRSD E INDEPENDIENTES","PARTIDO RADICAL SOCIALDEMOCRATA",167
"HUARA","SUBPACTO PS E INDEPENDIENTES","INDEPENDIENTE",40
"HUARA","SUBPACTO PS E INDEPENDIENTES","PARTIDO SOCIALISTA DE CHILE ",276
"HUARA",NA,"AMPLITUD",136
"HUARA",NA,"INDEPENDIENTE",81
"HUARA",NA,"RENOVACION NACIONAL ",228
"HUARA",NA,"UNION DEMOCRATA INDEPENDIENTE",435
NA,NA,NA,NA
"IQUIQUE","SUBPACTO EVOPOLI E INDEPENDIENTES","PARTIDO EVOLUCION POLITICA ",1107
"IQUIQUE","SUBPACTO HUMANISTAS E INDEPENDIENTES","INDEPENDIENTE",1396
