ID;Sigla;Comuna;Votacion
1;AMP;AISEN;0
1;DC;AISEN;995
1;DEMOREGIONAL;AISEN;0
1;ECO;AISEN;47
1;EVO;AISEN;317
1;FRNV;AISEN;0
1;FRVS;AISEN;0
1;IC;AISEN;0
1;IGUALDAD;AISEN;0
1;INDEP;AISEN;111
1;MAS;AISEN;0
1;PC;AISEN;292
1;PH;AISEN;103
1;PL;AISEN;0
1;PODER;AISEN;0
1;PPD;AISEN;123
1;PRI;AISEN;180
1;PRO;AISEN;0
1;PRSD;AISEN;515
1;PS;AISEN;1198
1;RD;AISEN;0
1;RN;AISEN;1669
1;UDI;AISEN;1796
1;UP;AISEN;0
2;AMP;ALGARROBO;0
2;DC;ALGARROBO;976
2;DEMOREGIONAL;ALGARROBO;0
2;ECO;ALGARROBO;0
2;EVO;ALGARROBO;114
2;FRNV;ALGARROBO;0
2;FRVS;ALGARROBO;0
2;IC;ALGARROBO;0
2;IGUALDAD;ALGARROBO;0
2;INDEP;ALGARROBO;122
2;MAS;ALGARROBO;0
2;PC;ALGARROBO;48
2;PH;ALGARROBO;0
2;PL;ALGARROBO;0
2;PODER;ALGARROBO;0
2;PPD;ALGARROBO;433
2;PRI;ALGARROBO;961
2;PRO;ALGARROBO;59
2;PRSD;ALGARROBO;404
2;PS;ALGARROBO;463
2;RD;ALGARROBO;0
2;RN;ALGARROBO;1031
2;UDI;ALGARROBO;1032
2;UP;ALGARROBO;0
3;AMP;ALHUE;0
3;DC;ALHUE;691
3;DEMOREGIONAL;ALHUE;0
3;ECO;ALHUE;0
3;EVO;ALHUE;0
3;FRNV;ALHUE;0
3;FRVS;ALHUE;0
3;IC;ALHUE;0
3;IGUALDAD;ALHUE;0
3;INDEP;ALHUE;0
3;MAS;ALHUE;4
3;PC;ALHUE;508
3;PH;ALHUE;466
3;PL;ALHUE;0
3;PODER;ALHUE;0
3;PPD;ALHUE;119
3;PRI;ALHUE;0
3;PRO;ALHUE;0
3;PRSD;ALHUE;53
3;PS;ALHUE;460
3;RD;ALHUE;0
3;RN;ALHUE;291
3;UDI;ALHUE;399
3;UP;ALHUE;0
4;AMP;ALTO BIOBIO;0
4;DC;ALTO BIOBIO;533
4;DEMOREGIONAL;ALTO BIOBIO;0
4;ECO;ALTO BIOBIO;0
4;EVO;ALTO BIOBIO;95
4;FRNV;ALTO BIOBIO;0
4;FRVS;ALTO BIOBIO;0
4;IC;ALTO BIOBIO;0
4;IGUALDAD;ALTO BIOBIO;0
4;INDEP;ALTO BIOBIO;0
4;MAS;ALTO BIOBIO;133
4;PC;ALTO BIOBIO;0
4;PH;ALTO BIOBIO;0
4;PL;ALTO BIOBIO;0
4;PODER;ALTO BIOBIO;0
4;PPD;ALTO BIOBIO;564
4;PRI;ALTO BIOBIO;0
4;PRO;ALTO BIOBIO;15
4;PRSD;ALTO BIOBIO;373
4;PS;ALTO BIOBIO;283
4;RD;ALTO BIOBIO;0
4;RN;ALTO BIOBIO;485
4;UDI;ALTO BIOBIO;394
4;UP;ALTO BIOBIO;0
5;AMP;ALTO DEL CARMEN;0
5;DC;ALTO DEL CARMEN;113
5;DEMOREGIONAL;ALTO DEL CARMEN;0
5;ECO;ALTO DEL CARMEN;0
5;EVO;ALTO DEL CARMEN;0
5;FRNV;ALTO DEL CARMEN;0
5;FRVS;ALTO DEL CARMEN;0
