Comuna,ID,Cupo
AISEN,1,6
ALGARROBO,2,6
ALHUE,3,6
ALTO BIOBIO,4,6
ALTO DEL CARMEN,5,6
ALTO HOSPICIO,6,6
ANCUD,7,6
ANDACOLLO,8,6
ANGOL,9,6
ANTARTICA,10,6
ANTOFAGASTA,11,10
ANTUCO,12,6
ARAUCO,13,6
ARICA,14,10
BUIN,15,6
BULNES,16,6
CABILDO,17,6
CABO DE HORNOS,18,6
CABRERO,19,6
CALAMA,20,8
CALBUCO,21,6
CALDERA,22,6
CALERA,117,6
CALERA DE TANGO,23,6
CALLE LARGA,24,6
CAMARONES,25,6
CAMIÑA,26,6
CANELA,27,6
CAÑETE,28,6
CARAHUE,29,6
CARTAGENA,30,6
CASABLANCA,31,6
CASTRO,32,6
CATEMU,33,6
CAUQUENES,34,6
CERRILLOS,35,6
CERRO NAVIA,36,8
CHAITEN,37,6
CHANCO,39,6
CHAÑARAL,38,6
CHEPICA,40,6
CHIGUAYANTE,41,6
CHILE CHICO,42,6
CHILLAN,43,8
CHILLAN VIEJO,44,6
CHIMBARONGO,45,6
CHOLCHOL,46,6
CHONCHI,47,6
CISNES,48,6
COBQUECURA,49,6
COCHAMO,50,6
COCHRANE,51,6
CODEGUA,52,6
COELEMU,53,6
COIHUECO,54,6
COINCO,55,6
COLBUN,56,6
COLCHANE,57,6
COLINA,58,6
COLLIPULLI,59,6
COLTAUCO,60,6
COMBARBALA,61,6
CONCEPCION,62,10
CONCHALI,63,8
CONCON,64,6
CONSTITUCION,65,6
CONTULMO,66,6
COPIAPO,67,8
COQUIMBO,68,8
CORONEL,69,8
CORRAL,70,6
COYHAIQUE,71,6
CUNCO,72,6
CURACAUTIN,73,6
CURACAVI,74,6
CURACO DE VELEZ,75,6
CURANILAHUE,76,6
CURARREHUE,77,6
CUREPTO,78,6
CURICO,79,8
DALCAHUE,80,6
DIEGO DE ALMAGRO,81,6
DOÑIHUE,82,6
EL BOSQUE,83,8
EL CARMEN,84,6
EL MONTE,85,6
EL QUISCO,86,6
EL TABO,87,6
EMPEDRADO,88,6
ERCILLA,89,6
ESTACION CENTRAL,90,8
FLORIDA,91,6
FREIRE,92,6
FREIRINA,93,6
FRESIA,94,6
FRUTILLAR,95,6
FUTALEUFU,96,6
FUTRONO,97,6
GALVARINO,98,6
GENERAL LAGOS,99,6
GORBEA,100,6
GRANEROS,101,6
GUAITECAS,102,6
HIJUELAS,103,6
HUALAIHUE,104,6
HUALAÑE,105,6
HUALPEN,106,8
HUALQUI,107,6
HUARA,108,6
HUASCO,109,6
HUECHURABA,110,6
ILLAPEL,111,6
INDEPENDENCIA,112,8
IQUIQUE,113,10
ISLA DE MAIPO,114,6
ISLA DE PASCUA,115,6
JUAN FERNANDEZ,116,6
LA CISTERNA,118,8
LA CRUZ,119,6
LA ESTRELLA,120,6
LA FLORIDA,121,10
LA GRANJA,122,8
LA HIGUERA,123,6
LA LIGUA,124,6
LA PINTANA,125,8
LA REINA,126,8
LA SERENA,127,8
LA UNION,128,6
LAGO RANCO,129,6
LAGO VERDE,130,6
LAGUNA BLANCA,131,6
LAJA,132,6
LAMPA,133,6
LANCO,134,6
LAS CABRAS,135,6
LAS CONDES,136,10
LAUTARO,137,6
LEBU,138,6
LICANTEN,139,6
LIMACHE,140,6
LINARES,141,8
LITUECHE,142,6
LLANQUIHUE,144,6
LLAY-LLAY,143,6
LO BARNECHEA,145,6
LO ESPEJO,146,8
LO PRADO,147,8
LOLOL,148,6
LONCOCHE,149,6
LONGAVI,150,6
LONQUIMAY,151,6
LOS ALAMOS,152,6
LOS ANDES,153,6
LOS ANGELES,154,8
LOS LAGOS,155,6
LOS MUERMOS,156,6
LOS SAUCES,157,6
LOS VILOS,158,6
LOTA,159,6
LUMACO,160,6
MACHALI,161,6
MACUL,162,8
MAFIL,163,6
MAIPU,164,10
MALLOA,165,6
MARCHIGUE,166,6
MARIA ELENA,167,6
MARIA PINTO,168,6
MARIQUINA,169,6
MAULE,170,6
MAULLIN,171,6
MEJILLONES,172,6
MELIPEUCO,173,6
MELIPILLA,174,8
MOLINA,175,6
MONTE PATRIA,176,6
MOSTAZAL,177,6
MULCHEN,178,6
NACIMIENTO,179,6
NANCAGUA,180,6
NATALES,181,6
NAVIDAD,182,6
NEGRETE,183,6
NINHUE,184,6
NOGALES,186,6
NUEVA IMPERIAL,187,6
ÑIQUEN,185,6
ÑUÑOA,188,10
O'HIGGINS,189,6
OLIVAR,190,6
OLLAGUE,191,6
OLMUE,192,6
OSORNO,193,8
OVALLE,194,8
PADRE HURTADO,195,6
PADRE LAS CASAS,196,6
PAIHUANO,197,6
PAILLACO,198,6
PAINE,199,6
PALENA,200,6
PALMILLA,201,6
PANGUIPULLI,202,6
PANQUEHUE,203,6
PAPUDO,204,6
PAREDONES,205,6
PARRAL,206,6
PEDRO AGUIRRE CERDA,207,8
PELARCO,208,6
PELLUHUE,209,6
PEMUCO,210,6
PENCAHUE,213,6
PENCO,214,10
PEÑAFLOR,211,6
PEÑALOLEN,212,10
PERALILLO,215,6
PERQUENCO,216,6
PETORCA,217,6
PEUMO,218,6
PICA,219,6
PICHIDEGUA,220,6
PICHILEMU,221,6
PINTO,222,6
PIRQUE,223,6
PITRUFQUEN,224,6
PLACILLA,225,6
PORTEZUELO,226,6
PORVENIR,227,6
POZO ALMONTE,228,6
PRIMAVERA,229,6
PROVIDENCIA,230,10
PUCHUNCAVI,231,6
PUCON,232,6
PUDAHUEL,233,10
PUENTE ALTO,234,10
PUERTO MONTT,235,10
PUERTO OCTAY,236,6
PUERTO VARAS,237,6
PUMANQUE,238,6
PUNITAQUI,239,6
PUNTA ARENAS,240,8
PUQUELDON,241,6
PUREN,242,6
PURRANQUE,243,6
PUTAENDO,244,6
PUTRE,245,6
PUYEHUE,246,6
QUEILEN,247,6
QUELLON,248,6
QUEMCHI,249,6
QUILACO,250,6
QUILICURA,251,8
QUILLECO,252,6
QUILLON,253,6
QUILLOTA,254,6
QUILPUE,255,8
QUINCHAO,256,6
QUINTA DE TILCOCO,257,6
QUINTA NORMAL,258,8
QUINTERO,259,6
QUIRIHUE,260,6
RANCAGUA,261,10
RANQUIL,262,6
RAUCO,263,6
RECOLETA,264,8
RENAICO,265,6
RENCA,266,8
RENGO,267,6
REQUINOA,268,6
RETIRO,269,6
RINCONADA,270,6
RIO BUENO,271,6
RIO CLARO,272,6
RIO HURTADO,273,6
RIO IBAÑEZ,274,6
RIO NEGRO,275,6
RIO VERDE,276,6
ROMERAL,277,6
SAAVEDRA,278,6
SAGRADA FAMILIA,279,6
SALAMANCA,280,6
SAN ANTONIO,281,8
SAN BERNARDO,282,10
SAN CARLOS,283,6
SAN CLEMENTE,284,6
SAN ESTEBAN,285,6
