Sigla;E1;E2;E3;E4;Current_2017;E5;E6;Concejales;Concejales_2
AMP;CHV;CHV2;CHV;CHV2;Velasco boys;CHV;CHV;IND 1;IND 1
RN;CHV;CHV2;CHV;CHV2;Centro Derecha;CHV;CHV;CHV 1;CHV
PRI;CHV;CHV2;CHV;CHV2;Centro Derecha;CHV;CHV;CHV 3;CHV
CIU;CHV;CHV2;CHV;CHV2;Velasco boys;CHV;CHV;IND 1;IND 1
UDI;CHV;CHV1;CHV;CHV1;Centro Derecha;CHV;CHV;CHV 2;CHV
EVO;CHV;CHV2;CHV;CHV2;Centro Derecha;CHV;CHV;CHV 3;CHV
TODOS;CHV;CHV2;CHV;CHV2;Velasco boys;CHV;CHV;IND 1;IND 1
PH;FA;FA;FA;FA;Frente Amplio;FA;FA;IZQ 1;IZQ 1
PRO;FA;FA;FA;FA;PRO y PAIS;FA;FA;IZQ 1;IZQ 1
IGUALDAD;FA;FA;FA;FA;Frente Amplio;FA;FA;IZQ 2;IZQ 2
PODER;FA;FA;FA;FA;Frente Amplio;FA;FA;IZQ 2;IZQ 2
LIBERAL;FA;FA;FA;FA;Frente Amplio;FA;FA;IZQ 2;IZQ 2
PAIS;FA;FA;FA;FA;PRO y PAIS;FA;FA;IZQ 2;IZQ 2
ECO;FA;FA;FA;FA;Frente Amplio;FA;FA;IZQ 2;IZQ 2
RD;FA;FA;FA;FA;Frente Amplio;FA;FA;IZQ 2;IZQ 2
INDEP;IND;IND;IND;IND;Independientes;IND;IND;IND;IND
FRVS;IZQ;IZQ;IZQ;IZQ;Verdes;IZQ;IZQ;IND 2;IND 2
DEMOREGIONAL;IZQ;IZQ;IZQ;IZQ;Verdes;IZQ;IZQ;IND 2;IND 2
UP;IZQ;IZQ;IZQ;IZQ;Crazy people UP;IZQ;IZQ;IND 3;IND 3
PTR;IZQ;IZQ;IZQ;IZQ;Crazy people PTR;IZQ;IZQ;IND 3;IND 3
MAS;NM;NM;NM2;NM2;DC y amigos;NM2;NM;IZQ 1;IZQ 1
PC;NM;NM;NM2;NM2;Nueva Mayoria;NM2;NM;IZQ 1;IZQ 1
DC;NM;NM;NM1;NM1;DC y amigos;NM1;NM;NM 1;NM 1
PPD;NM;NM;NM2;NM2;Nueva Mayoria;NM2;NM;NM 2;NM 2
PS;NM;NM;NM2;NM2;Nueva Mayoria;NM2;NM;NM 2;NM 2
IC;NM;NM;NM1;NM1;DC y amigos;NM1;NM;NM 1;NM 1
PRSD;NM;NM;NM1;NM1;Nueva Mayoria;NM1;NM;NM 2;NM 2
PREP;JAK boys;JAK boys;JAK boys;JAK boys;JAK boys;CHV;CHV;Ultra Derecha;Ultra Derecha
