comuna;comuna_servel;region;ud;dto;cir;X04alc_cd_v;X04alc_cd_p;X04alc_ci_v;X04alc_ci_p;X04alc_iz_v;X04alc_iz_p;X04alc_ot_v;X04alc_ot_p;X04con_cd_v;X04con_cd_p;X04con_ci_v;X04con_ci_p;X04con_iz_v;X04con_iz_p;X04con_ot_v;X04con_ot_p;X08alc_cd_v;X08alc_cd_p;X08alc_ci_v;X08alc_ci_p;X08alc_iz_v;X08alc_iz_p;X08alc_ot_v;X08alc_ot_p;X08con_cd_v;X08con_cd_p;X08con_ci_v;X08con_ci_p;X08con_iz_v;X08con_iz_p;X08con_ot_v;X08con_ot_p;X12alc_cd_v;X12alc_cd_p;X12alc_ci_v;X12alc_ci_p;X12alc_iz_v;X12alc_iz_p;X12alc_ot_v;X12alc_ot_p;X12con_cd_v;X12con_cd_p;X12con_ci_v;X12con_ci_p;X12con_iz_v;X12con_iz_p;X12con_ot_v;X12con_ot_p;X13dip_cd_v;X13dip_cd_p;X13dip_ci_v;X13dip_ci_p;X13dip_iz_v;X13dip_iz_p;X13dip_ot_v;X13dip_ot_p;X13sen_cd_v;X13sen_cd_p;X13sen_ci_v;X13sen_ci_p;X13sen_iz_v;X13sen_iz_p;X13sen_ot_v;X13sen_ot_p;X16alc_cd_v;X16alc_cd_p;X16alc_ci_v;X16alc_ci_p;X16alc_iz_v;X16alc_iz_p;X16alc_ot_v;X16alc_ot_p;X16con_cd_v;X16con_cd_p;X16con_ci_v;X16con_ci_p;X16con_iz_v;X16con_iz_p;X16con_ot_v;X16con_ot_p;X17dip_cd_v;X17dip_cd_p;X17dip_ci_v;X17dip_ci_p;X17dip_iz_v;X17dip_iz_p;X17dip_ot_v;X17dip_ot_p;X17sen_cd_v;X17sen_cd_p;X17sen_ci_v;X17sen_ci_p;X17sen_iz_v;X17sen_iz_p;X17sen_ot_v;X17sen_ot_p;X13pr1_cd_v;X13pr1_cd_p;X13pr1_ci_v;X13pr1_ci_p;X13pr1_iz_v;X13pr1_iz_p;X13p17_ot_v;X13pr1_ot_p;X13pr2_cd_v;X13pr2_cd_p;X13pr2_ci_v;X13pr2_ci_p;X13pr2_iz_v;X13pr2_iz_p;X13p17_ot_v;X13pr2_ot_p;X17pr1_cd_v;X17pr1_cd_p;X17pr1_ci_v;X17pr1_ci_p;X17pr1_iz_v;X17pr1_iz_p;X17pr1_ot_v;X17pr1_ot_p;X17pr2_cd_v;X17pr2_cd_p;X17pr2_ci_v;X17pr2_ci_p;X17pr2_iz_v;X17pr2_iz_p;X17pr2_ot_v;X17pr2_ot_p;X09pr1_cd_v;X09pr1_cd_p;X09pr1_ci_v;X09pr1_ci_p;X09pr1_iz_v;X09pr1_iz_p;X09pr1_ot_v;X09pr1_ot_p
Arica;ARICA;Arica y Parinacota;14;1;1;29344;0.4527137524;19722;0.3042673331;2645;0.04080656608;13107;0.2022123484;20995;0.3386672689;25925;0.4181923766;8704;0.1404029487;6369;0.1027374058;23321;0.3616780397;10137;0.1572115385;2295;0.03559243176;28727;0.4455179901;20010;0.3267845769;16377;0.2674538239;10009;0.1634576127;14837;0.2423039864;11668;0.2345892477;11384;0.2288793277;18313;0.368189312;8373;0.1683421127;14870;0.3127958098;17121;0.3601464061;7248;0.1524642925;8300;0.1745934917;15305;0.2380693131;28312;0.4403932305;16868;0.262381782;3803;0.05915567446;;;;;;;;;10056;0.2133355962;6601;0.1400386109;15037;0.3190063008;15443;0.3276194921;11574;0.2578762087;16870;0.3758745154;15071;0.3357916314;1367;0.03045764449;14338;0.256502916;5313;0.09504812337;36247;0.6484489606;0;0;16940;0.2493046255;21896;0.3222416813;14815;0.2180311704;14298;0.2104225228;14587;0.217498919;28070;0.4185366872;10158;0.1514604798;14252;;20605;0.3920132415;31957;0.6079867585;;0;;0;28259;0.4033369967;20327;0.2901246021;21477;0.3065384012;;0;33703;0.4972557467;34075;0.5027442533;;0;;0;32454;0.4392323517;20231;0.2738063014;21203;0.2869613469;0;0
Camarones;CAMARONES;Arica y Parinacota;25;1;1;749;0.2669280114;1777;0.6332858161;45;0.01603706344;235;0.08374910905;657;0.2360761768;1587;0.5702479339;323;0.1160618038;216;0.07761408552;447;0.1607913669;624;0.2244604317;241;0.08669064748;1468;0.528057554;443;0.1577073692;1607;0.5720897116;141;0.05019579922;618;0.22000712;0;0;502;0.19609375;0;0;2058;0.80390625;439;0.1733807267;911;0.3597946288;516;0.2037914692;666;0.2630331754;265;0.2792413066;404;0.425711275;253;0.2665964173;27;0.02845100105;;;;;;;;;242;0.1008753647;1111;0.463109629;0;0;1046;0.4360150063;609;0.253117207;1353;0.5623441397;444;0.1845386534;0;0;189;0.1740331492;383;0.3526703499;514;0.4732965009;0;0;246;0.2263109476;487;0.4480220791;200;0.1839926403;154;0.141674333;260;0.2644964395;390;0.3967446592;178;0.1810783316;155;;265;0.4337152209;346;0.5662847791;;0;;0;412;0.367201426;404;0.3600713012;306;0.2727272727;;0;468;0.5005347594;467;0.4994652406;;0;;0;724;0.4817032601;367;0.24417831;412;0.2741184298;0;0
General Lagos;GENERAL LAGOS;Arica y Parinacota;99;1;1;561;0.4908136483;468;0.4094488189;41;0.03587051619;73;0.06386701662;615;0.5283505155;484;0.4158075601;9;0.007731958763;56;0.04810996564;628;0.4812260536;474;0.3632183908;0;0;203;0.1555555556;638;0.4915254237;637;0.4907550077;23;0.01771956857;0;0;629;0.4988104679;184;0.1459159397;0;0;448;0.3552735924;495;0.3937947494;464;0.369132856;249;0.1980906921;49;0.03898170247;140;0.3097345133;200;0.4424778761;94;0.2079646018;18;0.03982300885;;;;;;;;;356;0.3009298394;292;0.246830093;0;0;535;0.4522400676;416;0.3513513514;573;0.4839527027;195;0.1646959459;0;0;133;0.2458410351;247;0.4565619224;161;0.2975970425;0;0;130;0.2385321101;250;0.4587155963;84;0.1541284404;81;0.1486238532;109;0.2289915966;225;0.4726890756;70;0.1470588235;72;;147;0.4622641509;171;0.5377358491;;0;;0;237;0.4093264249;191;0.3298791019;151;0.2607944732;;0;150;0.4716981132;168;0.5283018868;;0;;0;277;0.4671163575;178;0.3001686341;138;0.2327150084;0;0
Putre;PUTRE;Arica y Parinacota;245;1;1;1672;0.5152542373;1278;0.3938366718;51;0.0157164869;244;0.07519260401;1884;0.5845485572;1319;0.4092460441;20;0.006205398697;0;0;1229;0.3570598489;1580;0.4590354445;89;0.02585705985;544;0.1580476467;1488;0.4391971665;1762;0.5200708383;74;0.02184179457;64;0.01889020071;864;0.3233532934;1488;0.5568862275;320;0.119760479;0;0;773;0.2882177479;1415;0.5275913497;494;0.1841909023;0;0;402;0.2662251656;684;0.4529801325;362;0.2397350993;62;0.04105960265;;;;;;;;;263;0.1046141607;941;0.3743038982;0;0;1310;0.5210819411;1129;0.4532316339;1187;0.4765154556;175;0.07025291048;0;0;442;0.244198895;787;0.4348066298;581;0.3209944751;0;0;509;0.2773841962;840;0.4577656676;195;0.10626703;291;0.1585831063;389;0.2445003143;689;0.4330609679;234;0.1470773099;279;;413;0.4474539545;510;0.5525460455;;0;;0;890;0.4667016256;606;0.3177766125;411;0.2155217619;;0;629;0.4293515358;836;0.5706484642;;0;;0;1058;0.5054945055;531;0.2537028189;504;0.2408026756;0;0
Alto Hospicio;ALTO HOSPICIO;Tarapacá;6;2;2;3482;0.3570915804;2538;0.2602809968;172;0.01763921649;3559;0.3649882063;2208;0.2324455206;3634;0.382566586;1303;0.1371723339;2354;0.2478155595;9522;0.6535346603;4539;0.3115305422;0;0;509;0.03493479753;3715;0.2727406211;5155;0.3784597313;659;0.04838117613;4092;0.3004184715;7448;0.6041041447;3782;0.3067564279;1099;0.08913942737;0;0;2906;0.2445510393;4441;0.3737271733;356;0.02995876462;4180;0.3517630228;4425;0.3158458244;5525;0.3943611706;1007;0.07187723055;3053;0.2179157744;;;;;;;;;4795;0.34989784;6158;0.4493578517;653;0.04765032107;2098;0.1530939872;5154;0.3982075253;5540;0.4280305957;1598;0.1234644209;651;0.05029745809;7442;0.425451635;6351;0.3630802653;2074;0.1185684885;1625;0.09289961125;0;;0;;0;;0;;2446;0.1653708336;6353;0.4295179501;2813;0.1901832195;3179;;3859;0.3438474561;7364;0.6561525439;;0;;0;7599;0.4119145707;4508;0.2443625325;6341;0.3437228968;;0;7466;0.4282190995;9969;0.5717809005;;0;;0;;;;;;;;
Camiña;CAMIÑA;Tarapacá;26;2;2;1256;0.5899483326;846;0.3973696571;27;0.01268201033;0;0;1092;0.5185185185;899;0.4268755935;13;0.006172839506;102;0.04843304843;1318;0.7289823009;490;0.2710176991;0;0;0;0;918;0.5032894737;607;0.3327850877;16;0.008771929825;283;0.1551535088;858;0.5254133497;244;0.1494182486;0;0;531;0.3251684017;880;0.536258379;449;0.2736136502;209;0.127361365;103;0.06276660573;299;0.4164345404;196;0.2729805014;69;0.09610027855;154;0.2144846797;;;;;;;;;703;0.4320835894;26;0.0159803319;0;0;898;0.5519360787;768;0.4711656442;218;0.1337423313;471;0.2889570552;173;0.1061349693;393;0.5687409551;214;0.3096960926;51;0.07380607815;33;0.0477568741;59;0.4275362319;41;0.2971014493;6;0.04347826087;32;0.231884058;366;0.4518518519;267;0.3296296296;81;0.1;96;;455;0.6390449438;257;0.3609550562;;0;;0;487;0.6510695187;134;0.179144385;127;0.1697860963;;0;179;0.2248743719;617;0.7751256281;;0;;0;844;0.7086481948;132;0.1108312343;215;0.1805205709;0;0
Colchane;COLCHANE;Tarapacá;57;2;2;54;0.04778761062;574;0.5079646018;16;0.01415929204;486;0.4300884956;474;0.4168865435;442;0.3887423043;5;0.004397537379;216;0.1899736148;798;0.5795206972;551;0.4001452433;28;0.02033405955;0;0;709;0.5263548627;557;0.4135115071;81;0.06013363029;0;0;671;0.4452554745;506;0.3357664234;0;0;330;0.2189781022;577;0.3885521886;616;0.4148148148;0;0;292;0.1966329966;182;0.3661971831;103;0.2072434608;41;0.08249496982;171;0.3440643863;;;;;;;;;456;0.2189150264;398;0.1910705713;0;0;1229;0.5900144023;619;0.2919811321;780;0.3679245283;214;0.1009433962;507;0.2391509434;334;0.5748709122;153;0.2633390706;47;0.08089500861;47;0.08089500861;0;;0;;0;;0;;227;0.4180478821;173;0.3186003683;64;0.1178637201;79;;252;0.65625;132;0.34375;;0;;0;474;0.7535771065;76;0.1208267091;79;0.1255961844;;0;76;0.08539325843;814;0.9146067416;;0;;0;528;0.7776141384;45;0.06627393225;106;0.1561119293;0;0
Huara;HUARA;Tarapacá;108;2;2;255;0.09333821376;739;0.2704978038;151;0.05527086384;1587;0.5808931186;629;0.2314201619;1167;0.4293598234;207;0.0761589404;715;0.2630610743;1451;0.4812603648;927;0.3074626866;0;0;637;0.2112769486;1006;0.3405551794;1170;0.3960731212;195;0.06601218687;583;0.1973595125;648;0.2517482517;1405;0.5458430458;488;0.1895881896;33;0.01282051282;674;0.2664031621;1527;0.6035573123;167;0.06600790514;162;0.06403162055;425;0.2676322418;738;0.4647355164;88;0.05541561713;337;0.2122166247;;;;;;;;;1058;0.4570194384;1058;0.4570194384;0;0;199;0.08596112311;666;0.2944297082;1322;0.58443855;60;0.02652519894;214;0.09460654288;640;0.4472396925;577;0.4032145353;115;0.08036338225;99;0.06918238994;0;;0;;0;;0;;360;0.2167369055;803;0.4834437086;238;0.1432871764;260;;458;0.3848739496;732;0.6151260504;;0;;0;774;0.5029239766;452;0.293697206;313;0.2033788174;;0;934;0.627688172;554;0.372311828;;0;;0;1092;0.4864142539;399;0.1777282851;754;0.335857461;0;0
Iquique;IQUIQUE;Tarapacá;113;2;2;7067;0.1085477306;23056;0.3541356271;1380;0.02119652868;33602;0.5161201137;21443;0.3439078764;16078;0.2578627448;3467;0.05560456127;21363;0.3426248176;32924;0.5218411209;3534;0.05601344069;3481;0.05517339758;23153;0.3669720408;20785;0.341454199;15617;0.2565547378;3477;0.05711985806;20993;0.3448712052;22564;0.3961306859;1903;0.03340882358;2082;0.03655132459;30412;0.5339091659;18190;0.33298552;10709;0.196038589;2539;0.04647884746;23189;0.4244970436;22860;0.3924194047;22343;0.3835444776;4358;0.07481031345;8693;0.1492258042;;;;;;;;;20108;0.4493006212;20229;0.4520042901;3261;0.07286499531;1156;0.0258300934;16728;0.3862565808;20793;0.4801191466;5787;0.1336242727;0;0;27545;0.4319293734;22236;0.3486796713;10120;0.1586903343;3871;0.06070062096;0;;0;;0;;0;;15230;0.2479648323;20886;0.3400521003;12795;0.2083197655;12509;;20860;0.4554286837;24943;0.5445713163;;0;;0;31333;0.4674334646;16704;0.2491944146;18995;0.2833721208;;0;38382;0.586808953;27026;0.413191047;;0;;0;40967;0.477087191;13928;0.1622005613;30974;0.3607122477;0;0
Pica;PICA;Tarapacá;219;2;2;1841;0.600848564;1174;0.3831592689;49;0.0159921671;0;0;1610;0.5315285573;1039;0.3430174975;72;0.0237702212;308;0.101683724;1636;0.5620061834;144;0.04946753693;1131;0.3885262796;0;0;1393;0.4843532684;1195;0.4155076495;238;0.08275382476;50;0.0173852573;1455;0.4854854855;1542;0.5145145145;0;0;0;0;1250;0.4211590296;1502;0.50606469;153;0.05154986523;63;0.02122641509;681;0.3366287692;778;0.3845773604;107;0.05289174493;457;0.2259021256;;;;;;;;;1354;0.4363519175;845;0.2723171125;0;0;904;0.29133097;1219;0.4048488874;1463;0.485885088;283;0.09398870807;46;0.01527731651;989;0.4413208389;901;0.4020526551;235;0.1048639;116;0.05176260598;0;;0;;0;;0;;484;0.2245939675;951;0.4412993039;322;0.1494199536;398;;605;0.3727664818;1018;0.6272335182;;0;;0;1107;0.4657130837;675;0.2839713925;595;0.2503155238;;0;1191;0.5129198966;1131;0.4870801034;;0;;0;1336;0.4949981475;458;0.1696924787;905;0.3353093738;0;0
