ID,vot_jak,total,share_jak
14,7951,70063,0.11
25,62,1122,0.06
99,47,579,0.08
245,219,1907,0.11
6,2069,18448,0.11
26,42,748,0.06
57,61,629,0.1
108,73,1539,0.05
113,6024,67032,0.09
219,110,2377,0.05
228,325,3466,0.09
20,5182,49962,0.1
167,83,1609,0.05
191,15,262,0.06
299,127,2458,0.05
323,407,8163,0.05
11,8162,107371,0.08
172,219,3616,0.06
311,32,718,0.04
315,138,3923,0.04
38,117,4965,0.02
67,2448,51341,0.05
81,163,4715,0.03
5,68,1883,0.04
22,233,6075,0.04
109,151,3530,0.04
93,44,2623,0.02
319,186,5377,0.03
332,592,19062,0.03
8,99,5049,0.02
123,21,1764,0.01
127,3909,75364,0.05
197,49,2121,0.02
336,286,9744,0.03
68,3843,67749,0.06
194,1398,35914,0.04
273,47,1956,0.02
27,93,4003,0.02
61,165,5296,0.03
111,453,11926,0.04
158,290,7630,0.04
176,377,10721,0.04
239,167,4432,0.04
280,441,9463,0.05
17,387,8169,0.05
117,1111,20199,0.06
103,333,6544,0.05
119,513,7579,0.07
124,636,14573,0.04
186,381,8913,0.04
204,167,2963,0.06
217,111,4106,0.03
231,289,6539,0.04
254,2177,33547,0.06
259,760,10547,0.07
346,177,4082,0.04
24,267,5402,0.05
33,225,5293,0.04
143,431,9452,0.05
153,1737,26004,0.07
203,197,3046,0.06
244,253,5843,0.04
270,220,4345,0.05
285,394,7254,0.05
287,1756,27348,0.06
308,258,5660,0.05
140,1347,17131,0.08
192,462,7168,0.06
255,5725,62438,0.09
339,4660,45836,0.1
115,94,1931,0.05
116,14,301,0.05
333,8595,119003,0.07
64,2029,20291,0.1
341,13097,135832,0.1
2,338,6269,0.05
30,378,8291,0.05
31,563,10066,0.06
86,260,6008,0.04
87,251,4910,0.05
281,1862,37015,0.05
310,457,6310,0.07
58,3024,36838,0.08
133,1357,23126,0.06
251,3890,59744,0.07
233,5228,74993,0.07
320,285,6540,0.04
35,2151,31660,0.07
90,3166,54333,0.06
164,11957,189697,0.06
63,3125,55016,0.06
110,2133,34898,0.06
266,3164,48449,0.07
36,3688,49629,0.07
147,2512,42292,0.06
258,2421,46100,0.05
112,1771,33537,0.05
264,3178,61961,0.05
309,8162,107371,0.08
188,5646,111577,0.05
230,5692,88485,0.06
122,3074,45031,0.07
162,2738,50316,0.05
292,2251,39367,0.06
136,13032,153487,0.08
145,3649,46067,0.08
342,4067,58020,0.07
126,3554,53818,0.07
212,6108,89946,0.07
121,8942,153419,0.06
234,11433,160947,0.07
125,4627,49772,0.09
223,745,10461,0.07
293,306,7180,0.04
83,4734,61446,0.08
118,2429,40749,0.06
302,2694,36826,0.07
146,2719,38961,0.07
207,2674,46124,0.06
295,2426,48907,0.05
15,3891,31394,0.12
23,907,11609,0.08
199,2582,22921,0.11
282,9714,92882,0.1
3,62,2162,0.03
74,691,12216,0.06
85,763,12871,0.06
114,1034,12616,0.08
168,240,4796,0.05
174,2516,41098,0.06
195,1326,19832,0.07
211,1929,33441,0.06
298,115,3234,0.04
312,2046,29372,0.07
261,6049,88466,0.07
52,260,4950,0.05
55,137,3056,0.04
60,325,6651,0.05
82,401,7982,0.05
101,712,12534,0.06
161,1117,17028,0.07
165,271,5743,0.05
