ID,vota_rd,total,share_rd
14,0,55898,0
25,0,1086,0
99,0,541,0
245,0,1810,0
6,0,17492,0
26,0,691,0
57,0,581,0
108,0,1431,0
113,0,63772,0
219,0,2241,0
228,0,3141,0
20,1572,44255,0.03552141001
167,53,1287,0.04118104118
191,3,226,0.01327433628
299,131,2005,0.06533665835
323,128,7250,0.01765517241
11,7480,99910,0.07486738064
172,144,3170,0.04542586751
311,28,669,0.04185351271
315,182,3582,0.05080960357
38,56,4587,0.01220841509
67,1400,48994,0.02857492754
81,88,4429,0.01986904493
5,25,1734,0.01441753172
22,108,5572,0.01938262742
109,44,3212,0.01369863014
93,23,2401,0.009579341941
319,61,5020,0.01215139442
332,201,17921,0.01121589197
8,203,4285,0.04737456243
123,75,1490,0.05033557047
127,5529,69911,0.07908626682
197,116,1882,0.06163655685
336,461,8384,0.05498568702
68,3774,63431,0.05949772193
194,2358,32987,0.07148270531
273,91,1749,0.05202973128
27,76,3611,0.02104680144
61,170,4652,0.03654342218
111,239,11224,0.02129365645
158,299,6571,0.04550296758
176,331,9934,0.03331991142
239,193,3769,0.05120721677
280,232,8553,0.02712498539
17,62,7084,0.008752117448
117,261,17725,0.01472496474
103,48,5647,0.008500088543
119,101,6721,0.01502752567
124,90,13000,0.006923076923
186,116,7665,0.01513372472
204,31,2661,0.01164975573
217,37,3506,0.01055333714
231,120,5453,0.0220062351
254,489,29999,0.01630054335
259,186,8841,0.02103834408
346,51,3670,0.01389645777
24,62,4778,0.01297614064
33,49,4401,0.01113383322
143,123,8024,0.01532901296
153,429,22929,0.01870993066
203,35,2579,0.01357115161
244,63,4952,0.01272213247
270,30,3779,0.007938608097
285,91,6184,0.01471539457
287,422,23721,0.01779014375
308,49,4806,0.01019558885
140,228,15420,0.01478599222
192,85,6132,0.01386170907
255,2088,57200,0.0365034965
339,1208,41396,0.02918156344
115,53,1705,0.03108504399
116,9,263,0.03422053232
333,10493,107622,0.09749865269
64,1002,18150,0.05520661157
341,8937,124318,0.07188822214
2,176,5689,0.03093689576
30,206,7553,0.02727393089
31,344,8729,0.039408867
86,163,5492,0.02967953387
87,128,4318,0.0296433534
281,1001,33187,0.03016241299
310,104,5189,0.02004239738
58,1034,33711,0.03067248079
133,884,20157,0.0438557325
251,3143,52929,0.05938143551
233,4056,65355,0.06206105118
